x,y,densite,bandwidth,sigma_m,sous_population
-133636.0554102505,451102.242782683,0.006481940314506653,petit,35770.82265737722,tous
-133636.0554102505,461628.93013073824,0.005630853863650541,petit,35770.82265737722,tous
-133636.0554102505,472155.6174787935,0.004745067217918371,petit,35770.82265737722,tous
-133636.0554102505,482682.3048268488,0.003906096485403861,petit,35770.82265737722,tous
-133636.0554102505,493208.9921749041,0.0031684185932317355,petit,35770.82265737722,tous
-133636.0554102505,503735.67952295934,0.0025546772216349695,petit,35770.82265737722,tous
-133636.0554102505,514262.3668710146,0.0020592963423332242,petit,35770.82265737722,tous
-133636.0554102505,524789.0542190699,0.0016596875843591747,petit,35770.82265737722,tous
-133636.0554102505,535315.7415671252,0.0013299749365020582,petit,35770.82265737722,tous
-133636.0554102505,545842.4289151805,0.0010510344647093064,petit,35770.82265737722,tous
-133636.0554102505,556369.1162632357,8.13581253922659e-4,petit,35770.82265737722,tous
-133636.0554102505,566895.803611291,6.154041301307448e-4,petit,35770.82265737722,tous
-133636.0554102505,577422.4909593463,4.56425899310337e-4,petit,35770.82265737722,tous
-133636.0554102505,587949.1783074015,3.3497145043302843e-4,petit,35770.82265737722,tous
-133636.0554102505,598475.8656554568,2.4661277539769663e-4,petit,35770.82265737722,tous
-133636.0554102505,609002.5530035121,1.8503150258597248e-4,petit,35770.82265737722,tous
-133636.0554102505,619529.2403515674,1.435485396382794e-4,petit,35770.82265737722,tous
-133636.0554102505,630055.9276996227,1.1626837774213524e-4,petit,35770.82265737722,tous
-133636.0554102505,640582.6150476779,9.850902462873261e-5,petit,35770.82265737722,tous
-133636.0554102505,651109.3023957332,8.672610896198564e-5,petit,35770.82265737722,tous
-133636.0554102505,661635.9897437885,7.827946751620233e-5,petit,35770.82265737722,tous
-133636.0554102505,672162.6770918437,7.12602004239016e-5,petit,35770.82265737722,tous
-133636.0554102505,682689.364439899,6.441508688736362e-5,petit,35770.82265737722,tous
-126509.56326524918,440575.5554346277,0.00781585917328612,petit,35770.82265737722,tous
-126509.56326524918,451102.242782683,0.007120957392962019,petit,35770.82265737722,tous
-126509.56326524918,461628.93013073824,0.006243131121405278,petit,35770.82265737722,tous
-126509.56326524918,472155.6174787935,0.005298741519896072,petit,35770.82265737722,tous
-126509.56326524918,482682.3048268488,0.004387461147456453,petit,35770.82265737722,tous
-126509.56326524918,493208.9921749041,0.0035783424555581676,petit,35770.82265737722,tous
-126509.56326524918,503735.67952295934,0.0029030092962130474,petit,35770.82265737722,tous
-126509.56326524918,514262.3668710146,0.002358893957287002,petit,35770.82265737722,tous
-126509.56326524918,524789.0542190699,0.0019217593586089868,petit,35770.82265737722,tous
-126509.56326524918,535315.7415671252,0.0015618503716744502,petit,35770.82265737722,tous
-126509.56326524918,545842.4289151805,0.001256323807370037,petit,35770.82265737722,tous
-126509.56326524918,556369.1162632357,9.93703563489611e-4,petit,35770.82265737722,tous
-126509.56326524918,566895.803611291,7.712505620118336e-4,petit,35770.82265737722,tous
-126509.56326524918,577422.4909593463,5.89403737764589e-4,petit,35770.82265737722,tous
-126509.56326524918,587949.1783074015,4.47307614020894e-4,petit,35770.82265737722,tous
-126509.56326524918,598475.8656554568,3.4116966131969215e-4,petit,35770.82265737722,tous
-126509.56326524918,609002.5530035121,2.649420689670112e-4,petit,35770.82265737722,tous
-126509.56326524918,619529.2403515674,2.1186171420769945e-4,petit,35770.82265737722,tous
-126509.56326524918,630055.9276996227,1.7566907118214266e-4,petit,35770.82265737722,tous
-126509.56326524918,640582.6150476779,1.5111628639104296e-4,petit,35770.82265737722,tous
-126509.56326524918,651109.3023957332,1.3397506872037283e-4,petit,35770.82265737722,tous
-126509.56326524918,661635.9897437885,1.2091171404997598e-4,petit,35770.82265737722,tous
-126509.56326524918,672162.6770918437,1.0944098616722756e-4,petit,35770.82265737722,tous
-126509.56326524918,682689.364439899,9.795745735180526e-5,petit,35770.82265737722,tous
-126509.56326524918,693216.0517879543,8.573564214088124e-5,petit,35770.82265737722,tous
-126509.56326524918,703742.7391360096,7.280981277252138e-5,petit,35770.82265737722,tous
-119383.07112024784,440575.5554346277,0.00834057729986988,petit,35770.82265737722,tous
-119383.07112024784,451102.242782683,0.007693343356135774,petit,35770.82265737722,tous
-119383.07112024784,461628.93013073824,0.0068070459688014855,petit,35770.82265737722,tous
